X0,X1,X2,X3,X4,X5,X6,X7,X8,Y
1,0.98,514.5,294,110.25,7,2,0,0,15.55
1,0.98,514.5,294,110.25,7,3,0,0,15.55
1,0.98,514.5,294,110.25,7,4,0,0,15.55
1,0.98,514.5,294,110.25,7,5,0,0,15.55
1,0.9,563.5,318.5,122.5,7,2,0,0,20.84
1,0.9,563.5,318.5,122.5,7,3,0,0,21.46
1,0.9,563.5,318.5,122.5,7,4,0,0,20.71
1,0.9,563.5,318.5,122.5,7,5,0,0,19.68
1,0.86,588,294,147,7,2,0,0,19.5
1,0.86,588,294,147,7,3,0,0,19.95
1,0.86,588,294,147,7,4,0,0,19.34
1,0.86,588,294,147,7,5,0,0,18.31
1,0.82,612.5,318.5,147,7,2,0,0,17.05
1,0.82,612.5,318.5,147,7,3,0,0,17.41
1,0.82,612.5,318.5,147,7,4,0,0,16.95
1,0.82,612.5,318.5,147,7,5,0,0,15.98
1,0.79,637,343,147,7,2,0,0,28.52
1,0.79,637,343,147,7,3,0,0,29.9
1,0.79,637,343,147,7,4,0,0,29.63
1,0.79,637,343,147,7,5,0,0,28.75
1,0.76,661.5,416.5,122.5,7,2,0,0,24.77
1,0.76,661.5,416.5,122.5,7,3,0,0,23.93
1,0.76,661.5,416.5,122.5,7,4,0,0,24.77
1,0.76,661.5,416.5,122.5,7,5,0,0,23.93
1,0.74,686,245,220.5,3.5,2,0,0,6.07
1,0.74,686,245,220.5,3.5,3,0,0,6.05
1,0.74,686,245,220.5,3.5,4,0,0,6.01
1,0.74,686,245,220.5,3.5,5,0,0,6.04
1,0.71,710.5,269.5,220.5,3.5,2,0,0,6.37
1,0.71,710.5,269.5,220.5,3.5,3,0,0,6.4
1,0.71,710.5,269.5,220.5,3.5,4,0,0,6.37
1,0.71,710.5,269.5,220.5,3.5,5,0,0,6.4
1,0.69,735,294,220.5,3.5,2,0,0,6.85
1,0.69,735,294,220.5,3.5,3,0,0,6.79
1,0.69,735,294,220.5,3.5,4,0,0,6.77
1,0.69,735,294,220.5,3.5,5,0,0,6.81
1,0.66,759.5,318.5,220.5,3.5,2,0,0,7.18
1,0.66,759.5,318.5,220.5,3.5,3,0,0,7.1
1,0.66,759.5,318.5,220.5,3.5,4,0,0,7.1
